,name,desc,url,version,license,dependencies,install_30,install_90,install_365,on_request_30,on_request_90,on_request_365,build_error_30,build_error_90,build_error_365
514,brew-cask-completion,Fish completion for brew-cask,https://github.com/xyb/homebrew-cask-completion,2.1,BSD-2-Clause,,513,1963,7621,512,1962,7611,0,0,0
515,brew-gem,Install RubyGems as Homebrew formulae,https://github.com/sportngin/brew-gem,1.1.1,MIT,,262,1297,6410,262,1296,6407,0,0,0
516,brew-php-switcher,Switch Apache / Valet / CLI configs between PHP versions,https://github.com/philcook/brew-php-switcher,2.4,MIT,,739,2941,14339,740,2944,14348,0,0,0
517,brew-pip,Install pip packages as homebrew formulae,https://github.com/hanxue/brew-pip,0.4.1,MIT,python@3.11,431,1736,12780,430,1734,12777,0,0,0
518,brigade-cli,Brigade command-line interface,https://brigade.sh,2.6.0,Apache-2.0,,11,47,180,11,47,180,0,0,0
519,brightness,Change macOS display brightness from the command-line,https://github.com/nriley/brightness,1.2,BSD-2-Clause,,114,578,3116,116,583,3121,0,0,0
520,briss,Crop PDF files,https://briss.sourceforge.io/,0.9,,openjdk,31,124,424,30,123,423,0,0,0
521,brogue,Roguelike game,https://sites.google.com/site/broguegame/,1.12,AGPL-3.0-or-later,"sdl2, sdl2_image",98,256,730,98,256,730,0,0,0
522,brook,Cross-platform strong encryption and not detectable proxy. Zero-Configuration,https://txthinking.github.io/brook/,20230122,GPL-3.0-only,,26,86,370,27,87,371,0,0,0
523,broot,New way to see and navigate directory trees,https://dystroy.org/broot/,1.20.2,MIT,libxcb,3318,13975,48700,3312,13976,48717,0,0,0
524,brotli,Generic-purpose lossless compression algorithm by Google,https://github.com/google/brotli,1.0.9,MIT,,108778,508412,2547617,484,2119,10636,15,0,0
525,browser,Pipe HTML to a browser,https://gist.github.com/318247/,7,,,20,81,377,20,82,378,0,0,0
526,brpc,Better RPC framework,https://brpc.apache.org/,1.4.0,Apache-2.0,"gflags, leveldb, openssl@3, protobuf",36,70,101,36,70,101,0,0,0
527,bsdconv,Charset/encoding converter library,https://github.com/buganini/bsdconv,11.6,BSD-2-Clause,,3,8,23,3,8,23,0,0,0
528,bsdiff,Generate and apply patches to binary files,https://www.daemonology.net/bsdiff/,4.3,,,62,211,1186,62,211,1187,0,0,0
529,bsdmake,BSD version of the Make build tool,https://opensource.apple.com/,24,BSD-2-Clause and BSD-3-Clause and BSD-4-Clause-UC,,18,58,322,17,51,274,0,0,0
530,bsdsfv,SFV utility tools,https://bsdsfv.sourceforge.io/,1.18,,,1,5,13,0,5,13,0,0,0
531,bsponmpi,Implements the BSPlib standard on top of MPI,https://sourceforge.net/projects/bsponmpi/,0.3,LGPL-2.1-or-later,open-mpi,0,0,7,0,0,0,0,0,0
532,btfs,BitTorrent filesystem based on FUSE,https://github.com/johang/btfs,2.24,GPL-3.0-only,"curl, libfuse@2, libtorrent-rasterbar",0,0,1,0,0,0,0,0,0
533,btop,Resource monitor. C++ version and continuation of bashtop and bpytop,https://github.com/aristocratos/btop,1.2.13,Apache-2.0,gcc,1192,6621,50802,1189,6621,50805,0,0,0
534,btparse,BibTeX utility libraries,https://metacpan.org/pod/distribution/Text-BibTeX/btparse/doc/btparse.pod,0.35,GPL-2.0,,1,5,30,0,5,30,0,0,0
535,btpd,BitTorrent Protocol Daemon,https://github.com/btpd/btpd,0.16,BSD-2-Clause,openssl@3,5,9,47,5,9,47,0,0,0
536,btrfs-progs,Userspace utilities to manage btrfs filesystems,https://btrfs.wiki.kernel.org/index.php/Main_Page,6.2.1,GPL-2.0-only and LGPL-2.1-or-later,"e2fsprogs, lzo, systemd, util-linux, zlib, zstd",0,0,0,0,0,0,0,0,0
537,bubblewrap,Unprivileged sandboxing tool for Linux,https://github.com/containers/bubblewrap,0.8.0,LGPL-2.0-or-later,libcap,0,0,1,0,0,0,0,0,0
538,buf,New way of working with Protocol Buffers,https://github.com/bufbuild/buf,1.15.1,Apache-2.0,,476,1602,1602,463,1583,1583,0,0,0
539,buildapp,Creates executables with SBCL,https://www.xach.com/lisp/buildapp/,1.5.6,BSD-2-Clause,sbcl,35,110,1056,30,79,270,0,0,0
540,buildifier,Format bazel BUILD files with a standard convention,https://github.com/bazelbuild/buildtools,6.0.1,Apache-2.0,,1439,4330,12199,1356,3857,10687,0,0,0
541,buildkit,"Сoncurrent, cache-efficient, and Dockerfile-agnostic builder toolkit",https://github.com/moby/buildkit,0.11.4,Apache-2.0,,692,2680,8798,692,2681,8801,0,0,0
542,buildozer,Rewrite bazel BUILD files using standard commands,https://github.com/bazelbuild/buildtools,6.0.1,Apache-2.0,,865,1618,4029,864,1617,4027,0,0,0
543,buildpulse-test-reporter,"Connect your CI to BuildPulse to detect, track, and rank flaky tests",https://buildpulse.io,0.24.2,MIT,,9,17,51,9,17,51,0,0,0
544,buku,Powerful command-line bookmark manager,https://github.com/jarun/buku,4.7.1,GPL-3.0-or-later,"openssl@1.1, python@3.11, six",37,165,1486,37,165,1477,2,0,0
545,bulk_extractor,Stream-based forensics tool,https://github.com/simsong/bulk_extractor/wiki,2.0.0,MIT,openssl@3,29,113,607,29,113,607,1,0,0
546,bullet,Physics SDK,https://bulletphysics.org/,3.25,Zlib,,804,3206,14946,312,1043,3736,2,0,0
547,bumpversion,Increase version numbers with SemVer terms,https://pypi.python.org/pypi/bumpversion,1.0.1,MIT,python@3.11,29,113,557,29,113,542,0,0,0
548,bundler-completion,Bash completion for Bundler,https://github.com/mernen/completion-ruby,2,MIT,,59,248,912,58,247,910,0,0,0
549,bundletool,Command-line tool to manipulate Android App Bundles,https://github.com/google/bundletool,1.14.0,Apache-2.0,openjdk,1881,8546,35697,1879,8524,35538,0,0,0
550,bup,Backup tool,https://bup.github.io/,0.33,BSD-2-Clause and LGPL-2.0-only,python@3.11,15,57,272,15,57,273,0,0,0
551,bupstash,Easy and efficient encrypted backups,https://bupstash.io,0.12.0,MIT,libsodium,0,14,125,0,14,125,0,0,0
552,burl,Shell script wrapper that offers helpful shortcuts for curl(1),https://github.com/tj/burl,1.0.1,,,1,10,37,0,10,37,0,0,0
553,burp,Network backup and restore,https://burp.grke.org/,2.4.0,AGPL-3.0-only with openvpn-openssl-exception,"librsync, openssl@1.1",44,173,1022,44,173,1021,0,0,0
554,burst,"Radix sort, lazy ranges and iterators, and more. Boost-like header-only library",https://github.com/izvolov/burst,3.1.1,BSL-1.0,boost,7,20,94,7,20,94,0,0,0
555,busted,Elegant Lua unit testing,https://lunarmodules.github.io/busted/,2.1.1,MIT,lua,12,38,43,12,38,43,0,0,0
556,butane,Translates human-readable Butane Configs into machine-readable Ignition Configs,https://github.com/coreos/butane,0.17.0,Apache-2.0,,84,541,1784,84,539,1782,0,0,0
557,bvi,Vi-like binary file (hex) editor,https://bvi.sourceforge.io,1.4.2,GPL-3.0-or-later,,15,100,447,15,100,446,0,0,0
558,bvm,Version manager for all binaries,https://github.com/bvm/bvm,0.4.2,MIT,,5,35,156,5,35,156,0,0,0
559,bwa,Burrow-Wheeler Aligner for pairwise alignment of DNA,https://github.com/lh3/bwa,0.7.17,GPL-3.0,,76,335,1674,71,307,1523,0,0,0
560,bwctl,Command-line tool and daemon for network measuring tools,https://software.internet2.edu/bwctl/,1.5.4,Apache-2.0,,0,0,15,0,0,15,0,0,0
561,bwfmetaedit,"Tool for embedding, validating, and exporting BWF file metadata",https://mediaarea.net/BWFMetaEdit,23.01,0BSD,,15,94,181,7,72,143,0,0,0
562,bwidget,Tcl/Tk script-only set of megawidgets to provide the developer additional tools,https://core.tcl-lang.org/bwidget/home,1.9.16,TCL,tcl-tk,12,71,71,12,71,71,0,0,0
